CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
00869687,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BOA ESPERANÇA LTDA. - SICOOB BELCREDI,199601,B3S,I,2,Cooperativa de Crédito,Atípicas,MG,Boa Esperança,S5,,,,A
71146450,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAMPOS GERAIS E CAMPO DO MEIO LTDA - SICOOB CREDCAM,199309,B3S,I,2,Cooperativa de Crédito,Crédito rural,MG,Campos Gerais,S5,,,,A
25743311,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CARMO DO RIO CLARO LTDA - SICOOB CREDICARMO,198906,B3S,I,2,Cooperativa de Crédito,Crédito misto,MG,Carmo do Rio Claro,S5,,,,A
09576849,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA,200808,B3S,I,2,Cooperativa de Crédito,Atípicas,GO,Ceres,S5,,,,A
21682737,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CURVELO LTDA. - SICOOB CREDICENTRO,198606,B3S,I,2,Cooperativa de Crédito,,MG,Curvelo,,,,,I
01720488,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E MICRORREGIÕES LTDA.,199704,B3S,I,2,Cooperativa de Crédito,,GO,Goiânia,S5,,,,I
04079285,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAJUBÁ LTDA - SICOOB SUDESTE MAIS,200101,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,Itajubá,S5,,,,A
66463407,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAÚNA E REGIÃO LTDA - SICOOB CENTRO-OESTE,199304,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,Itaúna,S5,,,,A
10143499,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.,200810,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,GO,Jataí,S5,,,,A
05580585,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MANAUS   SICOOB MANAUS,200305,B3S,I,2,Cooperativa de Crédito,,AM,Manaus,S5,,,,I
01601342,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MICRO REGIÕES DE GOIÂNIA E ADJACENTES LTDA.,199701,B3S,I,2,Cooperativa de Crédito,,GO,Goiânia,S5,,,,I
66193350,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MURIAÉ LTDA - SICOOB CREDIMUR,199005,B3S,I,2,Cooperativa de Crédito,,MG,Muriaé,,,,,I
37631058,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PALMEIRAS E REGIÃO LTDA.,199305,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Palmeiras de Goiás,S5,,,,A
01009908,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED,199602,B3S,I,2,Cooperativa de Crédito,Atípicas,MG,Pará de Minas,S5,,,,A
71441406,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PEDRO LEOPOLDO LTDA - SICOOB CREDIPEL,199402,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,Pedro Leopoldo,S5,,,,A
03732359,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO,200006,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,PE,São José do Egito,S5,,,,A
